Month,BEV,PHEV,HEV
Dec-10,19,326,28592
Jan-11,103,321,19540
Feb-11,83,281,23306
Mar-11,298,608,34533
Apr-11,573,493,25602
May-11,1150,481,17419
Jun-11,1708,561,12655
Jul-11,932,125,19621
Aug-11,1363,302,21181
Sep-11,1031,723,17625
Oct-11,866,1108,20057
Nov-11,773,1139,26110
Dec-11,1212,1529,31100
Jan-12,824,603,21779
Feb-12,639,1023,36222
Mar-12,961,3200,48206
Apr-12,479,3116,39901
May-12,612,2766,37184
Jun-12,863,2455,34558
Jul-12,479,2537,31611
Aug-12,866,3878,38369
Sep-12,1306,4503,34836
Oct-12,2240,4994,33290
Nov-12,2614,4544,35002
Dec-12,2704,4965,43690
Jan-13,2372,2354,34611
Feb-13,2666,2789,40173
Mar-13,4553,3079,46327
Apr-13,4403,2735,42804
May-13,4545,3209,48796
Jun-13,4573,4169,44924
Jul-13,3943,3499,45494
Aug-13,4956,6407,53020
Sep-13,3650,4477,33576
Oct-13,3733,6367,33570
Nov-13,3930,4903,36085
Dec-13,4770,5020,36155
Jan-14,2971,2934,27555
Feb-14,3324,3721,30561
Mar-14,4578,4594,43790
Apr-14,4187,4718,39430
May-14,5802,6651,52227
Jun-14,4982,6511,39225
Jul-14,5693,5740,44488
Aug-14,6483,5920,48208
Sep-14,5983,3357,31385
Oct-14,5927,3735,30892
Nov-14,6176,3609,31109
Dec-14,7419,3867,33302
Jan-15,3977,2113,25312
Feb-15,4435,2589,27038
Mar-15,5715,3020,33654
Apr-15,6037,2962,32379
May-15,7057,4416,40257
Jun-15,6975,3409,32330
Jul-15,5143,3836,35666
Aug-15,5224,3786,37633
Sep-15,6704,3038,32106
Oct-15,5740,4081,30485
Nov-15,6103,4275,25153
Dec-15,7954,5483,32387
Jan-16,3576,3137,20967
Feb-16,4424,3909,24371
Mar-16,7115,5319,28756
Apr-16,6266,5842,28988
May-16,6526,5619,30573
Jun-16,7678,6113,27681
Jul-16,7762,6525,32633
Aug-16,8601,6372,32206
Sep-16,10032,6037,31286
Oct-16,5408,5943,26484
Nov-16,6266,7858,28497
Dec-16,13077,10211,34507
Jan-17,5398,5669,22630
Feb-17,5846,6247,28355
Mar-17,10171,7384,32012
Apr-17,5961,7300,30949
May-17,8038,8645,33729
Jun-17,8814,7787,30073
Jul-17,7802,7407,29050
Aug-17,8850,7668,34850
Sep-17,13421,7719,37319
Oct-17,6792,6665,29451
Nov-17,8435,8408,30075
Dec-17,14959,10289,32187
Jan-18,9154,6241,21718
Feb-18,6653,8783,24609
Mar-18,11060,11601,28165
Apr-18,12794,9931,24827
May-18,12232,11403,31602
Jun-18,12997,10485,31038
Jul-18,15387,9269,28203
Aug-18,20222,10132,30182
Sep-18,24163,10777,31985
Oct-18,29937,9937,28614
Nov-18,24089,11580,27453
Dec-18,28374,13744,29753
Jan-19,26942,6010,19153
Feb-19,10644,6610,22730
Mar-19,17281,8074,30926
Apr-19,20113,5908,33082
May-19,18012,7949,44162
Jun-19,23421,7999,39247
Jul-19,23559,7197,36341
Aug-19,18864,8433,42830
Sep-19,21812,5816,29848
Oct-19,23072,6388,32457
Nov-19,11421,7733,32962
Dec-19,18681,7674,35706
Jan-20,26391,5104,27166
Feb-20,11151,6111,32309
Mar-20,18234,3481,23591
Apr-20,8058,2015,14268
May-20,8626,3911,27740
Jun-20,16809,4206,41590
Jul-20,23075,5228,43738
Aug-20,17291,6478,42191
Sep-20,28101,6670,43293
Oct-20,29959,7755,47611
Nov-20,22225,7369,47724
Dec-20,28620,10721,63846
Jan-21,25103,7463,46843
Feb-21,26215,9046,54045
Mar-21,40755,12261,78123
Apr-21,33547,18604,76397
May-21,29796,20807,82511
Jun-21,45913,16648,65960
Jul-21,42013,15669,74298
Aug-21,35499,14067,67976
Sep-21,42020,12554,60102
Oct-21,42485,18275,63482
Nov-21,46687,14170,59326
Dec-21,49441,16553,69983
Jan-22,42780,11983,63093
Feb-22,46859,12563,58175
Mar-22,64160,16200,76683
Apr-22,52537,17875,71849
May-22,52502,15263,68737
Jun-22,59151,14644,61039
Jul-22,64161,13524,59229
Aug-22,60126,13971,58869
Sep-22,70056,13562,55891
Oct-22,69705,17397,66419
Nov-22,69924,16144,57086
Dec-22,79262,19719,69099
Jan-23,78382,14898,60069
Feb-23,80759,17484,66320
Mar-23,89648,20540,94289
Apr-23,91531,23207,100528
May-23,91699,22212,95334
